no;phpws;mhdi;incpc;region;pop
1;0.8957;0.672;438.56;1;104047
2;0.6777;0.529;149.78;1;5905
3;0.8673;0.5;172.55;1;11581
4;0.7363;0.573;209.27;1;21851
5;0.7726;0.513;179.92;1;23952
6;0.8824;0.549;164.24;1;11063
7;0.8436;0.554;198.43;1;24599
8;0.9299;0.558;144.91;1;31057
9;0.849;0.633;559.61;1;10766
10;0.8603;0.52;182.63;1;6431
11;0.831;0.555;231.79;1;37932
12;0.7724;0.581;207.65;1;25291
13;0.933;0.581;192.8;1;13939
14;0.8643;0.568;215.17;1;14959
15;0.8238;0.533;161.57;1;13973
16;0.6258;0.521;175.81;1;42505
17;0.7623;0.512;210.09;1;31702
18;0.7363;0.626;308.83;1;28488
19;0.7226;0.641;223.51;1;11407
20;0.9081;0.651;375.57;1;100014
21;0.6948;0.629;257.4;1;14925
22;0.7109;0.578;230.45;1;16604
23;0.7717;0.537;152.38;1;5293
24;0.9301;0.687;531.6;1;83528
25;0.8142;0.592;292.55;1;17841
26;0.7348;0.606;305.61;1;82830
27;0.8135;0.57;197.08;1;54930
28;0.5889;0.512;107.14;1;6524
29;0.9422;0.554;197.65;1;12049
30;0.8118;0.546;217.65;1;5469
31;0.7829;0.601;190.84;1;20344
32;0.8483;0.604;236.18;1;5996
33;0.9351;0.545;196.78;1;7949
34;0.7849;0.538;202.28;1;39049
35;0.6873;0.558;226.09;1;28459
36;0.9028;0.562;164.44;1;14818
37;0.6548;0.562;200.25;1;33359
38;0.5636;0.519;187.95;1;5577
39;0.6912;0.548;157.21;1;27013
40;0.8014;0.59;229.21;1;22899
41;0.6977;0.556;220.64;1;65237
42;0.9417;0.583;230.11;1;14784
43;0.5;0.537;110.65;1;8446
44;0.6792;0.553;145.01;1;10593
45;0.5662;0.523;136.39;1;18338
46;0.9662;0.652;358;1;13369
47;0.7921;0.561;203.94;1;18505
48;0.7445;0.565;176.61;1;20448
49;0.8931;0.537;200.15;1;10698
50;0.8291;0.634;334.51;1;23959
51;0.7955;0.574;220.91;1;22006
52;0.85;0.624;324.9;1;155129
53;0.9111;0.605;202.86;1;10297
54;0.7893;0.585;182.77;1;7887
55;0.7702;0.542;190.58;1;12565
56;0.7889;0.518;188.88;1;17622
57;0.713;0.604;251.75;1;73350
58;0.9243;0.6;263.53;1;13681
59;0.8721;0.595;273.45;1;118038
60;0.9395;0.564;236.47;1;46750
61;0.7278;0.596;279.81;1;39132
62;0.5774;0.512;170.79;1;14436
63;0.9132;0.576;237.3;1;61725
64;0.813;0.612;274.39;1;32652
65;0.9777;0.607;263.12;1;12579
66;0.9421;0.622;298.33;1;22681
67;0.7661;0.533;163.87;1;10649
68;0.8517;0.586;262.41;1;18452
69;0.9508;0.659;503.29;1;35835
70;0.8913;0.532;192.39;1;8126
71;0.5869;0.443;106.99;1;9241
72;0.742;0.556;163.15;1;17757
73;0.8772;0.616;271.6;1;11646
74;0.7537;0.58;257.81;1;15098
75;0.7138;0.604;225.47;1;10635
76;0.8506;0.568;233.2;1;17482
77;0.8925;0.565;237.47;1;10205
78;0.9383;0.629;312.56;1;15895
79;0.9119;0.572;245.38;1;15991
80;0.944;0.544;188.68;1;7337
81;0.8295;0.521;190.15;1;11921
82;0.9037;0.569;230.94;1;25401
83;0.9605;0.57;227.51;1;6140
84;0.814;0.609;340.1;1;62093
85;0.8482;0.625;223.14;1;12081
86;0.7593;0.535;125.91;1;26189
87;0.5436;0.546;154.09;1;25145
88;0.9254;0.569;216.25;1;12550
89;0.8771;0.614;292.16;1;11041
90;0.9658;0.731;613.87;1;247505
91;0.828;0.518;136.77;1;14297
92;0.769;0.599;221.87;1;62110
93;0.9396;0.63;336.91;1;24863
94;0.9439;0.561;206.58;1;8526
95;0.7515;0.49;127.24;1;15440
96;0.943;0.641;303.91;1;20381
97;0.8804;0.561;221.23;1;15433
98;0.9412;0.552;244.54;1;4020
99;0.8059;0.589;263.13;1;46083
100;0.8774;0.581;226.69;1;10729
101;0.7505;0.557;188.31;1;15412
102;0.8193;0.566;210.29;1;10934
103;0.9457;0.602;252.89;1;7794
104;0.7633;0.502;158.3;1;10517
105;0.8198;0.589;263.2;1;6923
106;0.8846;0.581;292.37;1;11423
107;0.706;0.582;198.73;1;11390
108;0.8059;0.588;232.06;1;6510
109;0.8766;0.567;181.73;1;17587
110;0.8592;0.582;239.38;1;19155
111;0.5867;0.452;96.25;1;8051
112;0.8843;0.55;176.36;1;14065
113;0.8151;0.57;161.49;1;15150
114;0.8061;0.619;294.51;1;21885
115;0.8157;0.55;202.66;1;31015
116;0.5789;0.533;133.33;1;13794
117;0.7632;0.527;144.42;1;8118
118;0.5616;0.545;163.97;1;20452
119;0.8135;0.61;245.25;1;24427
120;0.8655;0.622;239;1;14218
121;0.8112;0.546;178.1;1;31738
122;0.8735;0.575;221.57;1;9413
123;0.5642;0.548;164.07;1;17783
124;0.6524;0.585;152.75;1;12464
125;0.7508;0.566;181.59;1;4885
126;0.6379;0.584;257.61;1;4590
127;0.8815;0.581;225.16;1;19134
128;0.8266;0.589;247.36;1;18601
